马物名,收集品1,收集品2,收集品3,血量,心理伤害,物理伤害,法术伤害,移动,技能1,技能2,种族,定位-标签,用法
SB,话筒,乐器,线轴,12,1,2,2,1,“帮助”：在你的回合选择一名对手，进行一次难度为3的D6判定，成功会让对方的防具或武器在此自己的回合失效，失败无效,机遇：当场上进行D6判定后，你可以选择升高或降低一个点数(对陆马加成无效),独角兽,辅助  干扰,面板一般。改判技能可以在场上出现判定是使自己获利，一技能可以削弱对手防御。两技能可以配合使用。
SL,滑板,帽子,奖杯,13,1,2,1,2,滑板特技:自己回合内第一张攻击牌对一个对手造成≥1的伤害时，可对其进行一次难度为3的D6判定，成功造成当前移动值的伤害，失败失去下一回合自己的移动机会,,天马,刺客  ,面板一般，靠技能的加成增加攻击力，从而爆发。当获得滑板时，输出将高到一个新的境界
大麦,蹄铁,苹果,犁,15,0,3,0,1,蛮力:把你和对手所打出的魔法攻击牌都视为物理攻击牌,,陆马,输出,面板加上技能达到0 3 3的超强级别，可以持续输出。装备帽子有奇效。不过对于某些物理攻击高于法术攻击的对手，会被克制。
泽可拉,面具,花环,药剂,13,2,0,2,1,押韵:当在自己回合手牌中出现两张一样的卡，展示并弃掉其中一张可以立即摸一张牌,药剂大师:弃掉2张手牌，可以让自己或其他玩家恢复一点体力(不限次),斑马,收集流  辅助,一技能可以加速过牌，使自己更大可能抽到收集品，同时也加快了游戏进度。二技能的恢复可以保命。
小呆,马芬,纸笔,雷雨云,13,3,3,0,2,碰撞：当小呆攻击/被攻击时，自己/攻击者会受到1点不可防的伤害,,天马,反伤  输出,面板极强，靠攻击输出。技能的反伤可以恶心攻击你的对手，不过同时也需注意攻击后减自己的体力。
DJ,耳机,眼镜,音响,13,1,2,2,1,低音炮:每当攻击对对手造成≥2的伤害时，可以弃掉其一张手牌,,独角兽,输出  干扰,面板适中，靠技能削弱对手的行动力来增强自己的行动力。如果持续输出，可以把对手的手牌榨干。
提琴姬,乐谱,乐器,蝴蝶结,14,2,1,2,1,琴声:当你对一个目标造成了2点的心理伤害，会让其下一回合不能出牌。,上弦音：当你的武器栏为空时，可以把所有攻击牌视为心理攻击牌,陆马,控制  干扰  老手向,有输出和控制两档。如果想触发一技能，需要用二技能减攻击力，持续打一的伤害可以把对手控到死。而且对手使用某些防具时也会触发一技能，让对手很为难。在两档切换得当是新手不好做到的。
博士,沙漏,机器,望远镜,14,1,2,2,1,电话亭：在你晕厥的回合，可以苏醒在任意位置,变形：任何时间(包括游戏开始前和别人的回合)，你可以选择变成陆马、天马、独角兽、其他种族。,陆马,全能型  老手向,面板适中。可以靠变换种族获得所以关于种族的好处。开局变其他种族多摸牌，攻击时可以变成独角兽或者陆马，移动时可以变成天马不受地形影响。
天琴,魔法书,乐器,镜子,13,2,1,2,1,人类学：可以指定自己任意手牌当作自己三种收集品使用(无收集品特性，更换需要弃掉)，当此牌离开天琴，变回原样,,独角兽,全能型  老手向,面板适中。用技能随时切换三种武器，可以应对不同情况。攻击时用魔法书，反伤时用镜子，回血是用乐器。切换得当对新手来说很难。
糖糖,纸笔,眼镜,绳索,14,1,2,1,2,特工:效果牌和恢复牌可以当作事件牌打出,隐蔽：当事件被触发时，你可以选择减一点体力让自己不受这此事件的影响。,陆马,干扰  混战型,面板一般。可以靠技能开事件，从事件中获得优势。开到大事件对全体不利时，可以不受其影响，堪称战场搅屎棍。
